LibGDX port: Arcnor / Web port: nojus297	Port para LibGDX: Arcnor / port web: nojus297
Telegram port: @barboskich	Port para Telegram: @barboskich
Select Your Hero	Elige a tu héroe
Game Over	Fin de la partida
Boss slain	Jefe derrotado
Choose language	Elegir idioma
Key bindings	Asignación de teclas
Switch to fullscreen	Cambiar a pantalla completa
Switch to windowed	Cambiar a modo ventana
Reset To Defaults	Restablecer valores
<None>	<Ninguna>
Press a key for "%s", or press %s to remove the binding.	Pulsa una tecla para «%s» o pulsa %s para eliminar la asignación.
Hero Info	Información del héroe
Wait	Esperar
Search	Buscar
Examine cell	Examinar casilla
Resume motion	Reanudar movimiento
Backpack	Mochila
Quickslot	Acceso rápido
Attack	Atacar
Visible Enemies	Enemigos visibles
Zoom In	Acercar
Zoom Out	Alejar
Move North	Mover al norte
Move South	Mover al sur
Move West	Mover al oeste
Move East	Mover al este
Move NW	Mover al NO
Move NE	Mover al NE
Move SW	Mover al SO
Move SE	Mover al SE
Current Cell	Casilla actual
This %s is sleeping	Este %s está durmiendo
As you take a sip, you feel something changing inside you.	Al dar un sorbo, sientes que algo cambia en tu interior.
Disguised as a %s	Disfrazado de %s
You merged two wands into one %s.	Has fusionado dos varitas para crear %s.
Select a wand to merge	Elige una varita para fusionar
mob	monstruo
sniper	tirador
7-hit combo	combo de 7 golpes
smth	algo
Dreamweed	hierbasueño
Earthroot	raíz terrestre
Fadeleaf	hoja evanescente
Firebloom	flor de fuego
Icecap	sombrerillo de hielo
Rotberry	bayapodrida
Sorrowmoss	musgo triste
Sungrass	hierba solar
+1 str, +5 ht	+1 fue, +5 sal
+1 str	+1 fue
ruby	rubí
purpleheart	amaranto
glaive	guja
Gotcha, %s!	¡Te tengo, %s!
%d hit combo!	¡Combo de %d golpes!
Games played: 	Partidas jugadas:
A successful attack with a melee weapon allows the _Gladiator_ to start a combo, in which every next successful hit inflicts more damage.	Un ataque cuerpo a cuerpo exitoso permite al _Gladiador_ iniciar un combo, en el que cada golpe consecutivo inflige más daño.
The more enemies surround the _Berserker_, the faster he performs his attacks. When severely wounded, the _Berserker_ enters a state of wild fury significantly increasing his damage output.	Cuantos más enemigos rodeen al _Berserker_, más rápido atacará. Cuando está gravemente herido, el _Berserker_ entra en una furia salvaje que aumenta considerablemente el daño que inflige.
The caves, which stretch down under the abandoned prison, are sparsely populated. They lie too deep to be exploited by the City and they are too poor in minerals to interest the dwarves. In the past there was a trade outpost somewhere here on the route between these two states, but it has perished since the decline of Dwarven Metropolis. Only omnipresent gnolls and subterranean animals dwell here now.	Las cuevas que se extienden bajo la prisión abandonada están poco pobladas. Se encuentran demasiado profundas para que la Ciudad las explote y son demasiado pobres en minerales para interesar a los enanos. Antiguamente hubo aquí un puesto comercial en la ruta entre ambos reinos, pero desapareció con el declive de la Metrópolis Enana. Ahora solo habitan estos túneles los omnipresentes gnolls y animales subterráneos.
15 monsters killed at nighttime	15 monstruos eliminados durante la noche
That food tasted ok.	La comida no estaba mal.
Paralysed	Paralizado
Terror	Aterrorizado
Oh, what a pleasant surprise to meet a decent person in such place! I came here for a rare ingredient - a _phantom fish_. You can catch it with your bare hands, but it's very hard to notice in the water. Being a magic user, I'm quite able to defend myself against local monsters, but I'm getting lost in no time, it's very embarrassing. Probably you could help me? I would be happy to pay for your service with one of my best wands.	¡Qué agradable sorpresa encontrar a alguien decente en un lugar como este! Vine en busca de un ingrediente raro: un _pez fantasma_. Puedes atraparlo con las manos desnudas, pero es muy difícil verlo en el agua. Como mago puedo defenderme de los monstruos de la zona, pero me pierdo enseguida; es bastante vergonzoso. ¿Podrías ayudarme? Con gusto te recompensaré con una de mis mejores varitas.
