LibGDX port: Arcnor / Web port: nojus297	Port LibGDX: Arcnor / port web: nojus297
Telegram port: @barboskich	Port Telegram: @barboskich
Select Your Hero	Pilih Pahlawanmu
Game Over	Permainan berakhir
Boss slain	Bos dikalahkan
Sacrificial chamber	Ruang pengorbanan
Killed by an explosion of a bomb on level %d	Tewas akibat ledakan bom di lantai %d
Do you want to respec into %s?	Ingin mengganti spesialisasi menjadi %s?
Yes, I want to respec	Ya, aku ingin mengganti spesialisasi
Maybe later	Mungkin nanti
Language	Bahasa
Because of frequent use, your %s has broken.	Karena terlalu sering digunakan, %s milikmu rusak.
Because of frequent use, your %s is going to break soon.	Karena terlalu sering digunakan, %s milikmu akan segera rusak.
bomb	bom
This is a relatively small bomb, filled with black powder. Conveniently, its fuse is lit automatically when the bomb is thrown.	Bom ini relatif kecil dan berisi bubuk hitam. Untungnya, sumbunya menyala otomatis saat bom dilempar.
You killed yourself with a bomb...	Kau membunuh dirimu sendiri dengan bom...
honeypot	guci madu
SHATTER	PECAHKAN
There is not much honey in this small honeypot, but there is a golden bee there and it doesn't want to leave it.	Tak banyak madu di dalam guci kecil ini, tetapi ada seekor lebah emas yang tak mau meninggalkannya.
%s of auto-repair	%s yang memperbaiki diri
enchantment of viscosity	pesona kekentalan
The enchantment of viscosity killed you...	Pesona kekentalan membunuhmu...
phantom fish	ikan hantu
broken %s	%s rusak
Unequip one ring	Lepaskan satu cincin
Scroll of Enchantment	Gulungan Pesona
Select an enchantable item	Pilih benda yang dapat dipesona
your %s glows in the dark	%s milikmu bersinar dalam gelap
Scroll of Wipe Out	Gulungan Pemusnahan
You are now familiar enough with your %s.	Sekarang kau sudah cukup mengenal %s milikmu.
Wand of Reach	Tongkat Jangkauan
shocking %s	%s penyetrum
tempered %s	%s yang ditempa
"Your sacrifice is worthy..."	"Pengorbananmu layak..."
"Your sacrifice is unworthy..."	"Pengorbananmu tidak layak..."
"Your sacrifice is worthy and so you are!"	"Pengorbananmu layak, begitu pula dirimu!"
Sacrificial fire burns here. Every creature touched by this fire is marked as an offering for the spirits of the dungeon.	Api pengorbanan menyala di sini. Setiap makhluk yang tersentuh api ini ditandai sebagai persembahan bagi roh-roh ruang bawah tanah.
Marked for sacrifice	Ditandai untuk dikorbankan
Immune to gases	Kebal terhadap gas
Blinded with rage	Dibutakan amarah
Zeroed in	Terkunci pada sasaran
echo of 	gaung 
curse personification	perwujudan kutukan
DM-350	DM-350
spawn of Goo	jelmaan Goo
King of Dwarves	Raja Kurcaci
undead King of Dwarves	Raja Kurcaci mayat hidup
memory of Tengu	kenangan Tengu
echo of Yog-Dzewa	gaung Yog-Dzewa
Yes, I will do it for you	Ya, akan kulakukan untukmu
No, I can't help you	Tidak, aku tak bisa membantumu
Any luck with a _phantom fish_, %s? You may want to try searching for it in one of the local pools.	Ada hasil dengan _ikan hantu_, %s? Cobalah mencarinya di salah satu kolam di sekitar sini.
As you try to read the sign it bursts into greenish flames.	Saat kau mencoba membaca papan itu, tiba-tiba ia dilalap api kehijauan.
You can spend your gold in shops on deeper levels of the dungeon. The first one is on the 6th level.	Kau dapat membelanjakan emas di toko-toko pada lantai yang lebih dalam. Toko pertama berada di lantai 6.
If you are burning, you can't put out the fire in the water while levitating.	Jika sedang terbakar, kau tak bisa memadamkan api di air saat melayang.
Weapons and armors deteriorate faster than wands and rings, but there are more ways to fix them.	Senjata dan zirah lebih cepat aus daripada tongkat dan cincin, tetapi ada lebih banyak cara untuk memperbaikinya.
The only way to obtain a Scroll of Wipe Out is to receive it as a gift from the dungeon spirits.	Satu-satunya cara memperoleh Gulungan Pemusnahan adalah menerimanya sebagai hadiah dari roh-roh ruang bawah tanah.
Choose language	Pilih bahasa
Key bindings	Pemetaan tombol
Switch to fullscreen	Beralih ke layar penuh
Switch to windowed	Beralih ke mode jendela
Reset To Defaults	Kembalikan bawaan
<None>	<Tidak ada>
Press a key for "%s", or press %s to remove the binding.	Tekan tombol untuk “%s”, atau tekan %s untuk menghapus pemetaan.
Hero Info	Info pahlawan
Wait	Tunggu
Search	Cari
Examine cell	Periksa petak
Resume motion	Lanjutkan gerak
Backpack	Ransel
Quickslot	Slot cepat
Attack	Serang
Visible Enemies	Musuh terlihat
Zoom In	Perbesar
Zoom Out	Perkecil
Move North	Bergerak ke utara
Move South	Bergerak ke selatan
Move West	Bergerak ke barat
Move East	Bergerak ke timur
Move NW	Bergerak ke barat laut
Move NE	Bergerak ke timur laut
Move SW	Bergerak ke barat daya
Move SE	Bergerak ke tenggara
Current Cell	Petak saat ini
Pixel Dungeon	Pixel Dungeon
